Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0014,12,200,RG,RDL2,RDL,,12,200,1626,109,1643,114,CT_A1,47.676811679,-1.32899340394
44 D0015,4,0,RG,RDL2,RDL,,4,0,1507,63,1523,66,CT_A1,47.6669655688,-1.86420731211
44 D0016,25,0,RG,RP2,RM,,25,0,3629,309,3668,323,CT_A1,47.4128035374,-1.68203896523
44 D0016,35,900,P,RP2,RM,FAY DE BRETAGNE,35,900,3636,331,4562,443,CP,47.417000044,-1.82324909702
44 D0016,45,500,RG,RDL1,RDL,,45,500,2359,202,2384,211,CT_A1,47.4083229541,-1.94650984223
44 D0017,10,0,RG,RDL2,RDL,,10,0,1174,36,1187,38,CT_A1,47.4838441851,-2.00689814928
44 D0017,38,330,P,RP2,RM,SAINT ETIENNE,38,330,5328,250,5578,268,CP,47.2824268734,-1.80153609437
44 D0017,55,0,RG,RDL2,RDL,,55,0,9945,409,10052,428,CT_A1,47.2182008085,-1.64705300041
44 D0021,16,500,RG,RDL2,RDL,,16,500,2526,160,2553,167,CT_A1,47.4417305969,-1.23140827337
44 D0023,5,0,RG,RDL2,RDL,,5,0,1180,55,1193,58,CT_A1,47.3787385589,-1.2545848117
44 D0026,40,200,RG,RDL2,RDL,,40,200,3445,152,3482,159,CT_A1,47.3577259316,-1.60408874684
44 D0027,4,0,RG,RDL2,RDL,,4,0,238,20,241,21,CT_A1,47.4784019282,-1.62814962122
44 D0030,3,0,RG,RDL2,RDL,,3,0,1047,43,1058,45,CT_A1,47.4192781082,-1.00161190795
44 D0031,21,500,RG,RDL2,RDL,,21,500,1556,66,1573,69,CT_A1,47.317387403,-1.41581820886
44 D0031,35,0,RG,RDL1,RDL,,35,0,1499,80,1515,84,CT_A1,47.2544577938,-1.27807608188
44 D0033,72,0,RG,RP2,RM,,72,0,4562,348,4611,364,CT_A1,47.4377924272,-2.15535805396
44 D0033,77,900,P,RP2,RM,STE REINE,77,900,4567,233,4126,206,CP,47.4421147612,-2.2339069391
44 D0033,86,0,RG,RDL1,RDL,,86,0,3664,184,3703,192,CT_A1,47.4354288183,-2.342827889
