Annee,Nom_station_mesure,Agglo_station,az_CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Percentile98_ann_microg/m3,Moy_jour_maxi_microg/m3,Moy_hor_maxi_ann_microg/m3,Moy8_hor_maxi_ann_microg/m3,Objectif_qual_microg/m3_maxi_ann_delamoy8h
2012,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,51,110,121,154,149,120
2012,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,51,109,104,156,149,120
2011,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,54,121,117,165,149,120 
2011,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,54,122,112,159,147,120
2010,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,53,118,106,165,153,120
2010,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,54,121,107,176,161,120
2009,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,53,110,113,165,144,120
2009,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,52,109,115,162,140,120
2008,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,47,110,106,147,137,120
2008,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,51,114,108,150,143,120
2007,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,50,111,103,149,135,120
2007,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,49,115,104,164,144,120
2006,BEL AIR,LE MANS,72181,47.98893333,0.196033333,URBAINE,51,132,131,205,186,120
2006,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,55,136,133,203,185,120
2005,BEL AIR,LE MANS,72181,47.98893333,0.196033333,URBAINE,53,121,124,182,169,120
2005,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,53,122,107,175,168,120
2016,BOUAYE,NANTES,44018,47.14608889,-1.690269444,PERIURBAINE,52,105,99,149,137,120
2016,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,51,104,96,155,136,120
